secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
73,99,0,0.79048,37.008,0,457,26.6,12.60225655,56.03781039,0,3.4,24,0,50,0,0,0,0,0,0,0,0
74,103,0,0.80114,38.2428,0,475,26.8,12.60210459,56.03785573,0,2.91,24,0,49,0,0,0,0,0,0,0,0
75,104,0,0.80984,39.186,0,462,26.8,12.60198045,56.03788935,0,2.38,24,0,47,0,0,0,0,0,0,0,0
76,106,0,0.8233,39.6792,0,456,27,12.60178641,56.03794291,0,1.88,24,0,48,0,0,0,0,0,0,0,0
77,107,0,0.8346,40.842,0,472,27,12.60162288,56.03798859,0,1.44,24,0,51,0,0,0,0,0,0,0,0
78,106,0,0.84637,41.1192,0,451,27.2,12.60145248,56.03803184,0,1.13,24,0,48,0,0,0,0,0,0,0,0
79,106,0,0.85572,41.3136,0,487,27.4,12.60131753,56.03807106,0,0.96,24,0,50,0,0,0,0,0,0,0,0
80,104,0,0.86924,41.0148,0,488,27.6,12.60112634,56.03812756,0,0.99,24,0,50,0,0,0,0,0,0,0,0
81,104,0,0.88007,39.9708,0,464,28,12.60097244,56.03817198,0,1.14,24,0,49,0,0,0,0,0,0,0,0
82,103,0,0.89129,39.9708,0,465,28.4,12.60081168,56.03821750,0,1.37,24,0,49,0,0,0,0,0,0,0,0
83,102,0,0.90231,39.9708,0,477,28.8,12.60065125,56.03825957,0,1.64,24,0,49,0,0,0,0,0,0,0,0
84,101,0,0.91106,39.9708,0,489,29.2,12.60052569,56.03829402,0,1.94,24,0,50,0,0,0,0,0,0,0,0
85,101,0,0.92373,39.9708,0,473,29.6,12.60034095,56.03834306,0,2.26,24,0,50,0,0,0,0,0,0,0,0
86,101,0,0.9345,39.9456,0,470,30,12.60018580,56.03838522,0,2.56,24,0,49,0,0,0,0,0,0,0,0
87,101,0,0.94557,39.3084,0,477,30.2,12.60002764,56.03842797,0,2.77,24,0,49,0,0,0,0,0,0,0,0
88,101,0,0.95408,39.024,0,465,30.6,12.59990610,56.03846191,0,2.89,24,0,49,0,0,0,0,0,0,0,0
89,100,0,0.96698,38.8656,0,460,31,12.59972027,56.03851497,0,2.94,24,0,50,0,0,0,0,0,0,0,0
90,100,0,0.97773,38.7684,0,459,31.4,12.59956353,56.03855680,0,2.96,24,0,50,0,0,0,0,0,0,0,0
91,100,0,0.98852,38.7288,0,467,31.8,12.59940595,56.03859552,0,2.96,24,0,49,0,0,0,0,0,0,0,0
92,100,0,0.99717,38.7216,0,475,32.2,12.59927964,56.03862662,0,2.97,24,0,49,0,0,0,0,0,0,0,0
93,100,0,1.00764,38.5992,0,482,32.4,12.59912708,56.03866811,0,2.99,24,0,50,0,0,0,0,0,0,0,0
94,100,0,1.02045,38.5632,0,494,32.8,12.59894092,56.03871446,0,3,24,0,50,0,0,0,0,0,0,0,0
95,100,0,1.03087,38.4696,0,499,33.2,12.59879013,56.03875587,0,3.04,24,0,50,0,0,0,0,0,0,0,0
96,101,0,1.04136,38.4732,0,500,33.6,12.59863867,56.03879744,0,3.07,24,0,50,0,0,0,0,0,0,0,0
97,101,0,1.05201,38.5704,0,518,34,12.59848713,56.03884254,0,3.08,24,0,49,0,0,0,0,0,0,0,0
98,102,0,1.06108,38.5704,0,513,34.2,12.59835746,56.03887849,0,3.06,24,0,48,0,0,0,0,0,0,0,0
99,101,0,1.07405,38.5704,0,501,34.6,12.59817029,56.03892811,0,3,24,0,47,0,0,0,0,0,0,0,0
100,95,0,1.08519,38.6028,0,494,34.8,12.59801170,56.03897639,0,2.92,24,0,50,0,0,0,0,0,0,0,0
101,97,0,1.09638,38.8332,0,499,35.2,12.59784683,56.03901512,0,2.81,24,0,50,0,0,0,0,0,0,0,0
102,100,0,1.10828,41.5692,0,491,35.4,12.59767668,56.03906214,0,2.68,24,0,50,0,0,0,0,0,0,0,0
103,103,0,1.12026,42.5556,0,465,35.4,12.59750485,56.03911143,0,2.46,24,0,48,0,0,0,0,0,0,0,0
104,106,0,1.13256,43.434,0,466,35.4,12.59732573,56.03915786,0,2.13,24,0,51,0,0,0,0,0,0,0,0
105,106,0,1.14506,44.748,0,438,35.2,12.59714476,56.03920698,0,1.69,24,0,50,0,0,0,0,0,0,0,0
106,104,0,1.15746,45.774,0,412,35.2,12.59696254,56.03925132,0,0.45,24,0,49,0,0,0,0,0,0,0,0
107,104,0,1.17069,46.9584,0,428,35.2,12.59677001,56.03930094,0,0,24,0,51,0,0,0,0,0,0,0,0
108,107,0,1.1845,48.3768,0,396,35,12.59656784,56.03935081,0,0,24,0,51,0,0,0,0,0,0,0,0
109,108,0,1.1983,48.5568,0,412,35,12.59636458,56.03940077,0,0,24,0,50,0,0,0,0,0,0,0,0
110,105,0,1.20902,48.96,0,455,34.6,12.59620431,56.03943782,0,-0.32,24,0,47,0,0,0,0,0,0,0,0
111,108,0,1.22342,49.878,0,504,34.2,12.59598856,56.03948107,0,-0.64,24,0,51,0,0,0,0,0,0,0,0
112,110,0,1.2381,51.228,0,492,34,12.59576703,56.03952767,0,-0.87,24,0,50,0,0,0,0,0,0,0,0
113,111,0,1.2556,53.0568,0,472,33.8,12.59550283,56.03958031,0,-1.07,24,0,48,0,0,0,0,0,0,0,0
114,108,0,1.26816,53.8452,0,461,33.6,12.59531315,56.03961954,0,-1.24,24,0,48,0,0,0,0,0,0,0,0
115,105,0,1.28585,54.4104,0,452,33.4,12.59504619,56.03967159,0,-1.38,24,0,51,0,0,0,0,0,0,0,0
116,104,0,1.29805,54.5724,0,437,33.2,12.59486137,56.03970922,0,-1.47,24,0,50,0,0,0,0,0,0,0,0
